Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1697931774,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1697931775,1,,Aggregated,0.000000,0.000000,25,25,46,46,46,46,46,46,46,46,46,4,1,18,25.083295497097424,12.141693994635716,45.76717499730876,4486.25
1697931776,2,,Aggregated,0.000000,0.000000,20,25,30,30,46,46,46,46,46,46,46,8,2,18,21.710217374675267,10.46443799714325,45.76717499730876,4486.25
1697931777,3,,Aggregated,0.000000,0.000000,18,20,25,29,30,46,46,46,46,46,46,14,4,16,19.185113570918993,9.324432001449168,45.76717499730876,5046.214285714285
1697931778,3,,Aggregated,4.000000,1.000000,17,20,22,25,30,46,46,46,46,46,46,19,6,17,18.083238525784843,7.526843997766264,45.76717499730876,6166.631578947368
1697931779,3,,Aggregated,4.666667,1.333333,17,19,21,22,29,30,46,46,46,46,46,22,8,16,17.602320726423798,7.526843997766264,45.76717499730876,6267.954545454545
1697931780,3,,Aggregated,4.500000,1.500000,17,19,21,22,29,30,46,46,46,46,46,24,9,16,17.310878499301907,7.526843997766264,45.76717499730876,6446.125
1697931781,3,,Aggregated,4.500000,1.500000,15,18,20,21,29,30,46,46,46,46,46,28,11,14,16.30067199948826,7.385785000224132,45.76717499730876,6726.107142857143
1697931782,3,,Aggregated,4.000000,1.400000,15,18,20,22,29,30,46,46,46,46,46,30,12,14,16.40942966599444,7.385785000224132,45.76717499730876,6838.1
1697931783,3,,Aggregated,3.666667,1.333333,14,18,19,21,25,30,46,46,46,46,46,34,14,14,15.68787264648777,6.3294430001406,45.76717499730876,7022.558823529412
1697931784,3,,Aggregated,4.000000,1.571429,15,18,20,21,25,30,46,46,46,46,46,36,15,14,15.861357583061261,6.3294430001406,45.76717499730876,7099.416666666667
