Timestamp,User Count,Type,Name,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%,Total Request Count,Total Failure Count,Total Median Response Time,Total Average Response Time,Total Min Response Time,Total Max Response Time,Total Average Content Size
1697934240,0,,Aggregated,0.000000,0.000000,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,N/A,0,0,0,0.0,0,0,0
1697934241,1,,Aggregated,0.000000,0.000000,29,29,71,71,71,71,71,71,71,71,71,4,1,19,32.59266725035559,11.956577996897977,71.09032000153093,4486.25
1697934242,2,,Aggregated,0.000000,0.000000,19,25,26,29,71,71,71,71,71,71,71,10,3,18,23.939927300671116,10.972379001032095,71.09032000153093,5270.2
1697934243,3,,Aggregated,4.000000,1.000000,15,18,25,26,32,71,71,71,71,71,71,18,6,14,19.45975016699069,8.838793000904843,71.09032000153093,5792.833333333333
1697934244,3,,Aggregated,4.000000,1.000000,14,18,25,26,32,71,71,71,71,71,71,20,7,14,18.474093800614355,7.9387580044567585,71.09032000153093,6054.15
1697934245,3,,Aggregated,4.666667,1.333333,15,19,21,25,29,32,71,71,71,71,71,22,8,14,18.650608319148887,7.9387580044567585,71.09032000153093,6267.954545454545
1697934246,3,,Aggregated,4.500000,1.500000,15,18,21,25,29,32,71,71,71,71,71,24,9,14,18.22721091745431,7.9387580044567585,71.09032000153093,6446.125
1697934247,3,,Aggregated,4.000000,1.400000,18,19,20,21,29,32,71,71,71,71,71,28,11,16,18.345705286524858,7.9387580044567585,71.09032000153093,6726.107142857143
1697934248,3,,Aggregated,3.666667,1.333333,16,18,20,21,29,32,71,71,71,71,71,30,12,15,17.92063846757325,7.9387580044567585,71.09032000153093,6838.1
1697934249,3,,Aggregated,3.428571,1.285714,15,18,20,21,26,32,71,71,71,71,71,34,14,15,17.37981603026342,6.558809996931814,71.09032000153093,7022.558823529412
1697934250,3,,Aggregated,3.428571,1.285714,15,18,20,21,26,32,71,71,71,71,71,34,14,15,17.37981603026342,6.558809996931814,71.09032000153093,7022.558823529412
