Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
POST,/api/Addresss/,6,0,30,33.47177750159366,27.16694500122685,45.838267004000954,235.5,0.14569581949478236,0.0,31,31,37,37,46,46,46,46,46,46,46
POST,/api/BasketItems/,54,7,18,19.27736272274935,5.28844200016465,35.04509399499511,209.1851851851852,1.311262375453041,0.16997845607724607,18,22,24,25,28,31,34,35,35,35,35
POST,/api/Cards/,18,0,34,38.582796331967174,22.122629001387395,56.368395999015775,188.83333333333334,0.43708745848434705,0.0,37,41,49,54,55,56,56,56,56,56,56
POST,/api/Users/,3,0,46,50.54744099955618,23.542310002085287,82.19964399904711,313.0,0.07284790974739118,0.0,46,46,82,82,82,82,82,82,82,82,82
POST,/rest/basket/6/checkout,4,0,72,70.77760150059476,60.44555800326634,75.56393300183117,45.0,0.09713054632985489,0.0,75,75,76,76,76,76,76,76,76,76,76
POST,/rest/basket/7/checkout,2,0,83,89.55491350207012,82.92911300668493,96.18071399745531,45.0,0.048565273164927446,0.0,96,96,96,96,96,96,96,96,96,96,96
POST,/rest/basket/8/checkout,2,0,48.37797400250565,66.00124649776262,48.37797400250565,83.62451899301959,45.0,0.048565273164927446,0.0,84,84,84,84,84,84,84,84,84,84,84
GET,/rest/products/search?q=,18,0,23,23.01369649891664,13.142526993760839,36.7273820011178,12895.0,0.43708745848434705,0.0,24,26,28,31,34,37,37,37,37,37,37
POST,/rest/user/login,3,0,30,28.906445331813302,24.150281002221163,32.46969999599969,820.0,0.07284790974739118,0.0,30,30,32,32,32,32,32,32,32,32,32
,Aggregated,110,7,24,28.937540981728077,5.28844200016465,96.18071399745531,2290.7,2.6710900240710096,0.16997845607724607,25,30,32,37,55,75,83,84,96,96,96
